a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20250127.0-2
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3
alacritty 0.15.1-1
alsa-card-profiles 1:1.4.1-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.13-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
alsa-utils 1.2.13-2
aom 3.12.0-1
appstream 1.0.4-1
appstream-qt 1.0.4-1
apr 1.7.5-3
apr-util 1.6.3-2
aquamarine 0.7.2-1
archlinux-keyring 20250123-1
argon2 20190702-6
aribb24 1.0.3-4
ark 24.12.3-1
aspell 0.60.8.1-2
at-spi2-core 2.54.1-1
atkmm 2.28.4-1
attica 6.12.0-1
attr 2.5.2-1
audit 4.0.3-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
b43-fwcutter 019-6
baloo 6.12.0-1
baloo-widgets 24.12.3-1
base 3-2
base-devel 1-2
bash 5.2.037-2
bash-completion 2.16.0-1
bind 9.20.6-1
binutils 2.44-1
bison 3.8.2-8
blas 3.12.1-2
bluedevil 1:6.3.3-1
bluez 5.79-1
bluez-libs 5.79-1
bluez-qt 6.12.0-1
bluez-utils 5.79-1
boost 1.87.0-3
boost-libs 1.87.0-3
breeze 6.3.3-1
breeze-gtk 6.3.3-1
breeze-icons 6.12.0-1
brightnessctl 0.5.1-3
brotli 1.1.0-3
btrfs-progs 6.13-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.4-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.109-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
cblas 3.12.1-2
cdparanoia 10.2-9
cfitsio 1:4.6.0-4
chromaprint 1.5.1-10
cifs-utils 7.2-1
clinfo 3.0.23.01.25-1
clucene 2.3.3.4-15
cmake 3.31.6-1
cmatrix 2.0-3
confuse 3.3-4
convertlit 1.8-12
coreutils 9.6-4
cpio 2.15-2
cppdap 1.58.0-2
crypto++ 8.9.0-1
cryptsetup 2.7.5-2
curl 8.12.1-1
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-units 36-4
dconf 0.40.0-3
ddcutil 2.2.0-1
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.31-1
diffutils 3.11-2
ding-libs 0.6.2-2
discord 0.0.88-1
discount 3.0.0.d-1
djvulibre 3.5.28-6
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.90-2
dnssec-anchors 20190629-4
dolphin 24.12.3-1
dolphin-plugins 24.12.3-1
dosfstools 4.2-5
double-conversion 3.3.1-1
downgrade 11.4.4-1
dracut 106-1
duf 0.8.1-3
duktape 2.7.0-7
e2fsprogs 1.47.2-1
ebook-tools 0.2.2-8
editorconfig-core-c 0.12.9-1
efibootmgr 18-3
efitools 1.9.2-5
efivar 39-1
electron31 31.7.7-3
electron32 32.3.1-3
electron33 33.4.3-1
electron34 34.3.2-1
ell 0.74-1
enchant 2.8.2-2
endeavouros-branding 25.02.1.2-1
endeavouros-keyring 20231222-1
endeavouros-mirrorlist 25.3-1
eos-apps-info 24.8.2-1
eos-bash-shared 25.3.2-1
eos-breeze-sddm 25.02.1.1-1
eos-dracut 1.5-1
eos-hooks 1.16-1
eos-log-tool 24.12-1
eos-packagelist 2.3.1-2
eos-qogir-icons 6-1
eos-quickstart 1.4.1-1
eos-rankmirrors 25.3-1
eos-settings-plasma 1.9-2
eos-translations 25.3.0-1
ethtool 1:6.11-1
exfatprogs 1.2.8-1
exiv2 0.28.5-1
expac 10-11
expat 2.7.0-1
f2fs-tools 1.16.0-3
faac 1.31.1-1
faad2 2.11.2-1
fakeroot 1.37-1
fastfetch 2.38.0-1
fd 10.2.0-1
ffcall 2.4-3
ffmpeg 2:7.1-7
ffmpeg4.4 4.4.5-3
ffmpegthumbnailer 2.2.3-3
ffmpegthumbs 24.12.3-1
fftw 3.3.10-7
figlet 2.2.5-6
file 5.46-3
filesystem 2024.11.21-1
findutils 4.10.0-2
firefox 136.0.1-1
firewalld 2.3.0-2
fish 4.0.1-1
flac 1.5.0-1
flashrom 1.5.1-1
flex 2.6.4-5
fluidsynth 2.4.3-1
fmt 11.1.4-1
fontconfig 2:2.16.1-1
fop 2.10-1
frameworkintegration 6.12.0-1
freeglut 3.6.0-1
freeimage 3.18.0-23
freetype2 2.13.3-3
fribidi 1.0.16-1
fsarchiver 0.8.8-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
fwupd 2.0.6-1
fwupd-efi 1.7-1
fzf 0.60.3-1
gawk 5.3.1-2
gc 8.2.8-2
gcc 14.2.1+r753+g1cd744a6828f-1
gcc-libs 14.2.1+r753+g1cd744a6828f-1
gcr-4 4.3.1-1
gd 2.3.3-8
gdbm 1.24-2
gdk-pixbuf2 2.42.12-2
geoclue 2.7.2-1
gettext 0.24-1
ghostscript 10.05.0-1
ghostty 1.1.2-2
ghostty-shell-integration 1.1.2-2
ghostty-terminfo 1.1.2-2
giflib 5.2.2-1
git 2.49.0-1
git-lfs 3.6.1-1
github-cli 2.68.1-1
glances 4.3.0.8-2
glew 2.2.0-7
glib-networking 1:2.80.1-1
glib2 2.84.0-1
glibc 2.41+r9+ga900dbaf70f0-1
glibmm 2.66.7-1
glibmm-2.68 2.84.0-1
glslang 15.1.0-1
glu 9.0.3-2
gmp 6.3.0-2
gnulib-l10n 20241231-1
gnupg 2.4.7-1
gnutls 3.8.9-1
go 2:1.24.1-1
gobject-introspection-runtime 1.82.0-3
gperftools 2.16-1
gpgme 1.24.2-1
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2
graphite 1:1.3.14-4
graphviz 12.2.1-1
grep 3.11-1
grim 1.4.1-3
groff 1.23.0-7
grub 2:2.12.r226.g56ccc5ed-1
gsettings-desktop-schemas 47.1-1
gsettings-system-schemas 47.1-1
gsfonts 20200910-4
gsl 2.8-1
gsm 1.0.22-2
gspell 1.14.0-2
gssdp 1.6.3-2
gssproxy 0.9.2-1
gst-libav 1.24.12-4
gst-plugin-pipewire 1:1.4.1-1
gst-plugins-bad 1.24.12-4
gst-plugins-bad-libs 1.24.12-4
gst-plugins-base 1.24.12-4
gst-plugins-base-libs 1.24.12-4
gst-plugins-good 1.24.12-4
gst-plugins-ugly 1.24.12-4
gstreamer 1.24.12-4
gstreamer-vaapi 1.24.12-4
gtest 1.16.0-2
gtk-layer-shell 0.9.0-1
gtk-update-icon-cache 1:4.16.12-1
gtk3 1:3.24.49-1
gtk4 1:4.16.12-1
gtkmm-4.0 4.16.0-1
gtkmm3 3.24.9-1
gtksourceview3 1:3.24.11+r28+g73e57b57-2
gtksourceview4 4.8.4-1
gts 0.7.6.121130-3
guile 3.0.10-1
gulp 5.0.0-1
gupnp 1:1.6.8-1
gupnp-igd 1.6.0-1
gwenview 24.12.3-1
gzip 1.13-4
harfbuzz 10.4.0-1
harfbuzz-icu 10.4.0-1
haruna 1.3.3-2
haveged 1.9.19-1
hdparm 9.65-2
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
htop 3.4.0-1
hunspell 1.7.2-2
hwdata 0.393-1
hwdetect 2025.03.06.1935-1
hwinfo 23.3-3
hwloc 2.12.0-1
hyphen 2.8.8-6
hyprcursor 0.1.11-3
hyprgraphics 0.1.2-1
hyprland 0.47.2-2
hyprland-qt-support 0.1.0-4
hyprland-qtutils 0.1.3-4
hyprlang 0.6.0-5
hyprlock 0.7.0-1
hyprpaper 0.7.4-4
hyprshot 1.3.0-2
hyprutils 0.5.1-1
hyprwayland-scanner 0.4.4-1
i2c-tools 4.4-2
iana-etc 20250213-1
icu 76.1-1
ijs 0.35-6
imagemagick 7.1.1.45-1
imath 3.1.12-3
imlib2 1.12.3-2
inetutils 2.5-1
intel-ucode 20250211-1
intltool 0.51.0-6
inxi 3.3.37.1-1
iproute2 6.13.0-1
iptables-nft 1:1.8.10-2
iputils 20240905-1
iso-codes 4.17.0-1
iwd 3.4-1
jansson 2.14-4
jasper 4.2.4-2
java-avalon-framework 4.2.0-9
java-batik 1.17-1
java-commons-io 2.18.0-1
java-commons-logging 1.3.4-1
java-runtime-common 3-6
java-xmlgraphics-commons 2.10-1
jbig2dec 0.20-1
jbigkit 2.1-8
jemalloc 1:5.3.0-5
jfsutils 1.1.15-9
jq 1.7.1-2
jre-openjdk 23.0.2.u7-1
json-c 0.18-1
json-glib 1.10.6-1
jsoncpp 1.9.6-3
jxrlib 0.2.4-2
kaccounts-integration 24.12.3-1
kactivitymanagerd 6.3.3-1
karchive 6.12.0-1
kate 24.12.3-1
kauth 6.12.0-1
kazam 1.4.5-9
kbd 2.7.1-2
kbookmarks 6.12.0-1
kcalc 24.12.3-1
kcmutils 6.12.0-1
kcodecs 6.12.0-1
kcolorpicker 0.3.1-4
kcolorscheme 6.12.0-1
kcompletion 6.12.0-1
kcompletion5 5.116.0-1
kconfig 6.12.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.12.0-1
kcontacts 1:6.12.0-1
kcoreaddons 6.12.0-1
kcoreaddons5 5.116.0-1
kcrash 6.12.0-1
kcrash5 5.116.0-1
kdbusaddons 6.12.0-1
kde-cli-tools 6.3.3-1
kde-gtk-config 6.3.3-1
kdeclarative 6.12.0-1
kdeconnect 24.12.3-1
kdecoration 6.3.3-1
kded 6.12.0-1
kdegraphics-mobipocket 24.12.3-1
kdegraphics-thumbnailers 24.12.3-1
kdenetwork-filesharing 24.12.3-1
kdeplasma-addons 6.3.3-1
kdesu 6.12.0-1
kdnssd 6.12.0-1
kdsingleapplication 1.1.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keyutils 1.6.3-3
kfilemetadata 6.12.0-1
kgamma 6.3.3-1
kglobalaccel 6.12.0-1
kglobalacceld 6.3.3-1
kguiaddons 6.12.0-1
kguiaddons5 5.116.0-1
kholidays 1:6.12.0-1
ki18n 6.12.0-1
ki18n5 5.116.0-1
kiconthemes 6.12.0-1
kidletime 6.12.0-1
kimageannotator 0.7.1-3
kimageformats 6.12.0-1
kinfocenter 6.3.3-1
kio 6.12.0-1
kio-admin 24.12.3-1
kio-extras 24.12.3-1
kio-fuse 5.1.0-3
kirigami 6.12.0-1
kirigami-addons 1.7.0-1
kitemmodels 6.12.0-1
kitemviews 6.12.0-1
kitemviews5 5.116.0-1
kitty 0.39.1-1
kitty-shell-integration 0.39.1-1
kitty-terminfo 0.39.1-1
kjobwidgets 6.12.0-1
kmenuedit 6.3.3-1
kmod 34.1-1
knewstuff 6.12.0-1
knotifications 6.12.0-1
knotifyconfig 6.12.0-1
konsole 24.12.3-1
kpackage 6.12.0-1
kparts 6.12.0-1
kpeople 6.12.0-1
kpipewire 6.3.3-1
kpty 6.12.0-1
kquickcharts 6.12.0-1
krb5 1.21.3-1
krita 5.2.9-2
krunner 6.12.0-1
kscreen 6.3.3-1
kscreenlocker 6.3.3-1
kservice 6.12.0-1
kstatusnotifieritem 6.12.0-1
ksvg 6.12.0-1
ksystemstats 6.3.3-1
ktexteditor 6.12.0-1
ktextwidgets 6.12.0-1
kunitconversion 6.12.0-1
kuserfeedback 6.12.0-1
kwallet 6.12.0-1
kwallet-pam 6.3.3-1
kwayland 6.3.3-1
kwayland-integration 6.3.3-1
kwayland5 5.116.0-1
kwidgetsaddons 6.12.0-1
kwidgetsaddons5 5.116.0-1
kwin 6.3.3.1-1
kwindowsystem 6.12.0-1
kwindowsystem5 5.116.0-1
kxmlgui 6.12.0-1
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.1-2
layer-shell-qt 6.3.3-1
lcms2 2.17-1
ldb 2:4.22.0-1
leancrypto 1.2.0-2
less 1:668-1
lib32-alsa-lib 1.2.13-1
lib32-alsa-plugins 1.2.12-1
lib32-audit 4.0.3-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.12.1-1
lib32-e2fsprogs 1.47.2-1
lib32-expat 2.7.0-1
lib32-gcc-libs 14.2.1+r753+g1cd744a6828f-1
lib32-glibc 2.41+r9+ga900dbaf70f0-1
lib32-icu 76.1-1
lib32-json-c 0.18-1
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libcap 2.75-1
lib32-libdrm 2.4.124-1
lib32-libelf 0.192-2
lib32-libffi 3.4.7-1
lib32-libgcrypt 1.11.0-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.51-1
