accountsservice 23.13.9-2
alacritty 0.15.1-1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-4
alsa-utils 1.2.13-2
ark 24.12.3-1
aspell 0.60.8.1-2
b43-fwcutter 019-6
base 3-2
base-devel 1-2
bash-completion 2.16.0-1
bind 9.20.6-1
bluedevil 1:6.3.3-1
bluez 5.79-1
bluez-utils 5.79-1
breeze-gtk 6.3.3-1
brightnessctl 0.5.1-3
btrfs-progs 6.13-1
cantarell-fonts 1:0.303.1-2
cmatrix 2.0-3
cryptsetup 2.7.5-2
device-mapper 2.03.31-1
diffutils 3.11-2
discord 0.0.88-1
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.90-2
dolphin 24.12.3-1
dolphin-plugins 24.12.3-1
dosfstools 4.2-5
downgrade 11.4.4-1
dracut 106-1
duf 0.8.1-3
e2fsprogs 1.47.2-1
efibootmgr 18-3
efitools 1.9.2-5
endeavouros-branding 25.02.1.2-1
endeavouros-keyring 20231222-1
endeavouros-mirrorlist 25.3-1
eos-apps-info 24.8.2-1
eos-breeze-sddm 25.02.1.1-1
eos-dracut 1.5-1
eos-hooks 1.16-1
eos-log-tool 24.12-1
eos-packagelist 2.3.1-2
eos-quickstart 1.4.1-1
eos-rankmirrors 25.3-1
eos-settings-plasma 1.9-2
ethtool 1:6.11-1
exfatprogs 1.2.8-1
f2fs-tools 1.16.0-3
fastfetch 2.38.0-1
ffmpegthumbnailer 2.2.3-3
ffmpegthumbs 24.12.3-1
figlet 2.2.5-6
firefox 136.0.1-1
firewalld 2.3.0-2
fish 4.0.1-1
fsarchiver 0.8.8-1
fwupd 2.0.6-1
ghostty 1.1.2-2
git 2.49.0-1
github-cli 2.68.1-1
glances 4.3.0.8-2
grub 2:2.12.r226.g56ccc5ed-1
gst-libav 1.24.12-4
gst-plugin-pipewire 1:1.4.1-1
gst-plugins-bad 1.24.12-4
gst-plugins-ugly 1.24.12-4
gwenview 24.12.3-1
haruna 1.3.3-2
haveged 1.9.19-1
hdparm 9.65-2
htop 3.4.0-1
hwdetect 2025.03.06.1935-1
hwinfo 23.3-3
hyprland 0.47.2-2
hyprlock 0.7.0-1
hyprpaper 0.7.4-4
hyprshot 1.3.0-2
inetutils 2.5-1
intel-ucode 20250211-1
inxi 3.3.37.1-1
iptables-nft 1:1.8.10-2
iwd 3.4-1
jfsutils 1.1.15-9
jq 1.7.1-2
jre-openjdk 23.0.2.u7-1
kate 24.12.3-1
kazam 1.4.5-9
kcalc 24.12.3-1
kde-cli-tools 6.3.3-1
kde-gtk-config 6.3.3-1
kdeconnect 24.12.3-1
kdegraphics-thumbnailers 24.12.3-1
kdenetwork-filesharing 24.12.3-1
kdeplasma-addons 6.3.3-1
kgamma 6.3.3-1
kimageformats 6.12.0-1
kinfocenter 6.3.3-1
kio-admin 24.12.3-1
kio-extras 24.12.3-1
